customer_id,customer_name,order_count
CUST-00233,Karan Mandal,8
CUST-00334,Mahika Swaminathan,8
CUST-00219,Chasmum Khanna,7
CUST-00367,Barkha Bora,7
CUST-00454,Ria Shanker,7
CUST-00015,Unni Gill,6
CUST-00026,Eiravati Vohra,6
CUST-00045,Abha Dhingra,6
CUST-00066,Noah Dora,6
CUST-00093,Mason Sarraf,6
CUST-00119,Ekaraj Contractor,6
CUST-00124,Reva Dugar,6
CUST-00127,Aadhya Hora,6
CUST-00156,Indira Ben,6
CUST-00172,Lakshmi Wason,6
CUST-00181,Aradhana Bala,6
CUST-00192,Zashil Patil,6
CUST-00261,Yatin Dhaliwal,6
CUST-00280,Varenya Sabharwal,6
CUST-00333,Lekha Aggarwal,6
CUST-00348,Waida Bahri,6
CUST-00369,Simon Yadav,6
CUST-00431,Daksh Sarin,6
CUST-00494,Shravya Patil,6
CUST-00499,Reva Soman,6
CUST-00009,Zayan Khosla,5
CUST-00019,Dakshesh Koshy,5
CUST-00029,Bhavna Sidhu,5
CUST-00058,Nicholas Brahmbhatt,5
CUST-00099,Liam Joshi,5
CUST-00100,Triveni Varma,5
CUST-00112,Logan Manne,5
CUST-00135,Neelima Andra,5
CUST-00139,Maya Chauhan,5
CUST-00143,Dalbir Hegde,5
CUST-00149,Yashawini Swaminathan,5
CUST-00162,Garima Bhagat,5
CUST-00177,Aadi Nigam,5
CUST-00188,Kai Karan,5
CUST-00189,Ishita Dhaliwal,5
CUST-00203,Saanvi Bajwa,5
CUST-00213,Ikbal Bedi,5
CUST-00226,Farhan Sami,5
CUST-00227,Yahvi Chatterjee,5
CUST-00234,Neha Purohit,5
CUST-00247,Ayaan Dave,5
CUST-00252,Pratyush Sandhu,5
CUST-00293,Liam Chander,5
CUST-00297,Guneet Som,5
CUST-00314,Kabir Bahri,5
CUST-00344,Gaurika Bhatia,5
CUST-00350,Priya Modi,5
CUST-00363,Krisha Sridhar,5
CUST-00373,Christopher Chad,5
CUST-00381,Azaan Sehgal,5
CUST-00384,Harsh Deo,5
CUST-00398,Ucchal Kamdar,5
CUST-00408,Hamsini Joshi,5
CUST-00411,Faras Bhalla,5
CUST-00414,George Chaudhry,5
CUST-00419,Abhiram Apte,5
CUST-00427,Lakshit Ramesh,5
CUST-00439,Pahal Trivedi,5
CUST-00441,Zinal Reddy,5
CUST-00443,Champak Ganesan,5
CUST-00447,Pavani Nagy,5
CUST-00459,Damyanti Som,5
CUST-00467,Bimala Issac,5
CUST-00482,Gauri Parmer,5
CUST-00492,Indrajit Setty,5
CUST-00004,Om Samra,4
CUST-00017,Leena Sampath,4
CUST-00025,Bachittar Ben,4
CUST-00028,Tanvi Chander,4
CUST-00038,Oliver Agate,4
CUST-00039,Bhavna Ramaswamy,4
CUST-00041,Pallavi Dayal,4
CUST-00048,Bhavna Srinivasan,4
CUST-00052,Chakrika Gour,4
CUST-00061,Veda Padmanabhan,4
CUST-00062,Unnati Natt,4
CUST-00063,Yatin Bumb,4
CUST-00067,Abhiram Karpe,4
CUST-00069,Mitali Reddy,4
CUST-00071,Veer Sharaf,4
CUST-00079,Triya Salvi,4
CUST-00081,Balvan Hegde,4
CUST-00084,Dominic Dutt,4
CUST-00091,Niharika Bhardwaj,4
CUST-00097,Ansh Parmer,4
CUST-00105,Shravya Palan,4
CUST-00110,Ronith Varma,4
CUST-00116,Pavani Swaminathan,4
CUST-00152,Abhimanyu Reddy,4
CUST-00153,Ekalinga Bala,4
CUST-00163,Oni Gola,4
CUST-00165,Praneel Shroff,4
CUST-00169,Atharv Baria,4
CUST-00173,Kabir Krishna,4
CUST-00178,Aadi Bhat,4
CUST-00182,Jeevika Mander,4
CUST-00184,Gaurangi Rau,4
CUST-00206,Gaurika Dhar,4
CUST-00211,Devansh Das,4
CUST-00214,Yachana Aggarwal,4
CUST-00216,Logan Murty,4
CUST-00217,Manthan Shere,4
CUST-00229,Fitan Sarkar,4
CUST-00239,Mason Ramakrishnan,4
CUST-00240,Urvashi Anand,4
CUST-00242,Geetika Keer,4
CUST-00243,Vasudha Rai,4
CUST-00244,Ridhi Mistry,4
CUST-00245,Rohan Krishnamurthy,4
CUST-00249,Zashil Desai,4
CUST-00254,Fitan Khanna,4
CUST-00264,Fiyaz Srivastava,4
CUST-00267,Yochana Ahluwalia,4
CUST-00271,Kashish Mittal,4
CUST-00282,Yatin Chandra,4
CUST-00289,Aadhya Sridhar,4
CUST-00292,Gunbir Mukhopadhyay,4
CUST-00296,Warinder Shroff,4
CUST-00299,Warinder Suresh,4
CUST-00309,Amol Om,4
CUST-00329,Jagat Srinivas,4
CUST-00336,Ishani Deshmukh,4
CUST-00340,Charvi Srinivasan,4
CUST-00342,Lucky Menon,4
CUST-00352,Chanakya Rastogi,4
CUST-00354,Reyansh Tripathi,4
CUST-00358,Raghav Kumar,4
CUST-00359,Januja Samra,4
CUST-00362,Lucky Gokhale,4
CUST-00372,Gautami Boase,4
CUST-00375,Sarthak Ravi,4
CUST-00376,Jairaj Goel,4
CUST-00379,Urvi Kala,4
CUST-00392,Orinder Panchal,4
CUST-00399,Rachana Pal,4
CUST-00403,Leena Shetty,4
CUST-00405,Gaurang D’Alia,4
CUST-00409,Krishna Dara,4
CUST-00417,Megha Barad,4
CUST-00421,Omkaar Khare,4
CUST-00432,Nimrat Krishna,4
CUST-00434,Aditya Sheth,4
CUST-00436,Inaya Barad,4
CUST-00437,Girindra Rao,4
CUST-00450,Advik Singhal,4
CUST-00458,Onveer Banerjee,4
CUST-00477,Omaja Dugar,4
CUST-00479,Ridhi Sibal,4
CUST-00480,Radhika Hayre,4
CUST-00493,Shaurya Dhaliwal,4
CUST-00497,Harish Nazareth,4
CUST-00500,Tarak Pall,4
CUST-00002,Pallavi Som,3
CUST-00005,Harrison Chada,3
CUST-00007,Chameli Bath,3
CUST-00012,Mohammed Sankar,3
CUST-00016,Lucky Deo,3
CUST-00020,Mitali Bhargava,3
CUST-00021,Avni Tiwari,3
CUST-00024,Harinakshi Khurana,3
CUST-00033,Chatura Balay,3
CUST-00036,Aayush Maharaj,3
CUST-00040,Zayyan Krishna,3
CUST-00046,Siya Desai,3
CUST-00049,Vedhika Randhawa,3
CUST-00053,Teerth Narasimhan,3
CUST-00054,Chandresh Kurian,3
CUST-00060,Tanvi Wason,3
CUST-00064,Sai Lanka,3
CUST-00070,Ekaraj Sathe,3
CUST-00073,Wriddhish Guha,3
CUST-00078,Hiral Contractor,3
CUST-00082,Ubika Nagar,3
CUST-00092,Falak Gopal,3
CUST-00096,Sneha Pingle,3
CUST-00109,Yagnesh Nigam,3
CUST-00111,Raagini Upadhyay,3
CUST-00113,Ati Sundaram,3
CUST-00117,Jack Chandran,3
CUST-00118,Lila Mishra,3
CUST-00120,Sara Brar,3
CUST-00125,Rachita Gola,3
CUST-00128,Jairaj Pandey,3
CUST-00129,Vanya Thaman,3
CUST-00132,Leena Ratti,3
CUST-00138,Sai Dugal,3
CUST-00150,Megha Chaudhary,3
CUST-00154,Shaurya Raja,3
CUST-00157,Irya Narayan,3
CUST-00158,Orinder Purohit,3
CUST-00159,Rishi Bains,3
CUST-00164,Ekansh Narayan,3
CUST-00166,Anmol Sarkar,3
CUST-00167,Yahvi Suri,3
